id;name;adresse;typ;gruppe;lng;lat
1;Klettergarten Roßfall (ÖAV);Höttinger Alm;Klettergarten;Fitness/Klettern;11.36465512;47.29636926
2;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;11.41585341;47.29173305
3;Klettergarten Mühlauer Klamm;Rechenhofweg;Klettergarten;Fitness/Klettern;11.41497595;47.29162156
4;Landeshauptschießstand Arzl;Eggenwaldweg 60;Schießstand;Sonstiges;11.42715446;47.2899563
5;Spielplatz Arzler Schießstand;Eggenwaldweg;Fußballplatz;Fußball/Football;11.42475142;47.28942904
6;Spielplatz Arzler Schießstand;Eggenwaldweg;Leichtathletikanlage;Sonstiges;11.42468135;47.2891711
7;Fitnessparkour Fit 2000 Hungerburg;Hungerburgweg;Fitnessparkour;Fitness/Klettern;11.39764877;47.28687256
8;Spielplatz Hungerburg;Gramartstraße;Sportplatz;Spielplatz;11.39477131;47.28665794
9;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.39372026;47.28498274
10;Sporthalle VS Arzl;Framsweg 19;Sporthalle;Sporthalle;11.42627095;47.28473091
11;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.39349264;47.28491739
12;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.39391252;47.28467192
13;Tennisplätze Hungerburg;Gramartstraße 23;Tennisplatz;Tennis/Squash;11.39368645;47.28460713
14;Sporthalle VS Mühlau;Hauptplatz 3;Sporthalle;Sporthalle;11.4121155;47.28373819
15;Sportplatz Mühlenweg;Mühlenweg;Sportplatz;Spielplatz;11.41530601;47.28327079
16;Sportplatz Mühlenweg;Mühlenweg;Basketballplatz;Funsport;11.41492474;47.2832541
17;Spielplatz Gramartwiese;Gramartstraße;Sportplatz;Spielplatz;11.377229;47.28279271
18;Klettergarten Höttinger Steinbruch (ÖAV);Höhenstraße;Klettergarten;Fitness/Klettern;11.39433761;47.28219821
19;Spielplatz Jugendwohnheim Schwedenhaus;Rennweg 17b;Sportplatz;Spielplatz;11.39937048;47.27724774
20;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Leichtathletikanlage;Sonstiges;11.40018683;47.27621799
21;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;11.43651417;47.27521801
22;Sporthalle VS Neuarzl;Rotadlerstraße 10;Sporthalle;Sporthalle;11.43628565;47.27517419
23;Spielplatz Schützenstraße;Schützenstraße;Sportplatz;Spielplatz;11.43549894;47.27468084
24;Spielplatz Reichenauerpromenade;Reichenauer Straße;Beachvolleyballplatz;Funsport;11.42674149;47.27487083
25;Spielplatz Reichenauerpromenade;Reichenauer Straße;Streetballplatz;Funsport;11.42730484;47.2746944
26;Spielplatz Grüngürtel Reichenau Ost;Roßbachstraße;Sportplatz;Spielplatz;11.42236284;47.27469944
